Gene	r	p	Name
ZNF787	0.37	0.0124	zinc finger protein 787
DNAJB14	0.37	0.0124	DnaJ heat shock protein family (Hsp40) member B14
TBC1D7	0.37	0.0124	TBC1 domain family member 7
TRIM4	0.37	0.0124	tripartite motif containing 4
RRAGB	-0.37	0.0124	Ras related GTP binding B
BAIAP2	0.369	0.0125	BAR/IMD domain containing adaptor protein 2
FAM195B	-0.369	0.0125	MAPK regulated corepressor interacting protein 1
SEPTIN8	0.37	0.0125	septin 8
CPSF4	0.369	0.0126	cleavage and polyadenylation specific factor 4
DDX26B	-0.369	0.0127	integrator complex subunit 6 like
TOB1	0.411	0.0128	transducer of ERBB2, 1
SBK1	0.472	0.0128	SH3 domain binding kinase 1
ZMYM6	-0.782	0.0128	zinc finger MYM-type containing 6
WDR59	-0.368	0.0128	WD repeat domain 59
SH2B1	-0.368	0.0128	SH2B adaptor protein 1
TUT1	0.368	0.0128	terminal uridylyl transferase 1, U6 snRNA-specific
MSTO1	0.368	0.0129	misato mitochondrial distribution and morphology regulator 1
ACBD3	0.367	0.0131	acyl-CoA binding domain containing 3
ADIPOR2	0.367	0.0131	adiponectin receptor 2
EHMT2	0.367	0.0131	euchromatic histone lysine methyltransferase 2
LIMA1	0.367	0.0132	LIM domain and actin binding 1
TIAL1	0.367	0.0132	TIA1 cytotoxic granule associated RNA binding protein like 1
RPL29	0.367	0.0132	ribosomal protein L29
ZNF609	0.367	0.0132	zinc finger protein 609
ABCC4	0.367	0.0132	ATP binding cassette subfamily C member 4
FAM84B	0.366	0.0134	LRAT domain containing 2
SAMD14	-0.779	0.0134	sterile alpha motif domain containing 14
CPSF2	0.366	0.0134	cleavage and polyadenylation specific factor 2
KRT18	0.366	0.0134	keratin 18
MLPH	0.366	0.0134	melanophilin
MGRN1	0.366	0.0134	mahogunin ring finger 1
ACBD6	0.366	0.0135	acyl-CoA binding domain containing 6
HP1BP3	-0.365	0.0136	heterochromatin protein 1 binding protein 3
SULF1	0.365	0.0137	sulfatase 1
SLC25A25	0.365	0.0138	solute carrier family 25 member 25
AMPD2	-0.364	0.0139	adenosine monophosphate deaminase 2
CUEDC1	0.364	0.0139	CUE domain containing 1
AR	0.364	0.014	androgen receptor
SLC16A7	-0.364	0.014	solute carrier family 16 member 7
ASNA1	-0.363	0.0141	guided entry of tail-anchored proteins factor 3, ATPase
JTB	0.364	0.0141	jumping translocation breakpoint
FBXL18	0.363	0.0142	F-box and leucine rich repeat protein 18
FAM101B	0.363	0.0142	refilin B
LTN1	0.363	0.0143	listerin E3 ubiquitin protein ligase 1
ZMYM6NB	-0.363	0.0143	transmembrane protein 35B
SNAPC1	0.363	0.0143	small nuclear RNA activating complex polypeptide 1
HSBP1	0.363	0.0143	heat shock factor binding protein 1
PPP1CA	0.363	0.0144	protein phosphatase 1 catalytic subunit alpha
MICALL2	0.362	0.0144	MICAL like 2
MPDU1	0.362	0.0145	mannose-P-dolichol utilization defect 1
ZNF195	0.404	0.0145	zinc finger protein 195
KAZN	-0.362	0.0145	kazrin, periplakin interacting protein
DVL1	-0.362	0.0146	dishevelled segment polarity protein 1
TRAF2	0.361	0.0147	TNF receptor associated factor 2
RPL22L1	0.361	0.0147	ribosomal protein L22 like 1
GCDH	-0.362	0.0147	glutaryl-CoA dehydrogenase
RRAGA	-0.361	0.0148	Ras related GTP binding A
HEPHL1	0.772	0.0148	hephaestin like 1
KRT75	0.361	0.0149	keratin 75
RBP7	-0.361	0.0149	retinol binding protein 7
TYW5	0.361	0.0149	tRNA-yW synthesizing protein 5
ZFP82	-0.361	0.0149	ZFP82 zinc finger protein
KIF21A	0.36	0.015	kinesin family member 21A
DDX23	0.36	0.0151	DEAD-box helicase 23
BTF3	0.36	0.0152	basic transcription factor 3
VPS41	0.359	0.0153	VPS41 subunit of HOPS complex
PGM3	0.359	0.0153	phosphoglucomutase 3
PMVK	0.359	0.0153	phosphomevalonate kinase
TADA2A	-0.359	0.0155	transcriptional adaptor 2A
NUDT16L1	0.359	0.0155	nudix hydrolase 16 like 1
FAM83F	-0.359	0.0156	family with sequence similarity 83 member F
CSNK1G3	0.359	0.0156	casein kinase 1 gamma 3
TNPO1	0.359	0.0156	transportin 1
FOS	0.768	0.0157	Fos proto-oncogene, AP-1 transcription factor subunit
UBE2O	0.358	0.0157	ubiquitin conjugating enzyme E2 O
GPRC5C	0.358	0.0157	G protein-coupled receptor class C group 5 member C
TIPIN	0.358	0.0158	TIMELESS interacting protein
ZMIZ1	0.358	0.0158	zinc finger MIZ-type containing 1
ANO4	0.559	0.0158	anoctamin 4
TYW1	0.358	0.0158	tRNA-yW synthesizing protein 1 homolog
RPL37	0.358	0.0159	ribosomal protein L37
ZBTB14	-0.358	0.0159	zinc finger and BTB domain containing 14
OBP2A	0.767	0.0159	odorant binding protein 2A
TRIM3	0.358	0.0159	tripartite motif containing 3
FAM110A	0.358	0.0159	family with sequence similarity 110 member A
MIA3	0.357	0.0159	MIA SH3 domain ER export factor 3
ARRDC1	0.357	0.016	arrestin domain containing 1
HMGN4	-0.357	0.016	high mobility group nucleosomal binding domain 4
PYGB	-0.357	0.016	glycogen phosphorylase B
PCDHGB7	-0.766	0.0161	protocadherin gamma subfamily B, 7
EYA2	0.398	0.0161	EYA transcriptional coactivator and phosphatase 2
FAM184B	0.398	0.0161	family with sequence similarity 184 member B
LENG9	0.766	0.0161	leukocyte receptor cluster member 9
TM9SF3	0.357	0.0161	transmembrane 9 superfamily member 3
PAX9	0.459	0.0161	paired box 9
LIG3	0.357	0.0162	DNA ligase 3
TPT1	0.356	0.0163	tumor protein, translationally-controlled 1
KCTD15	0.356	0.0163	potassium channel tetramerization domain containing 15
ABCC5	0.356	0.0164	ATP binding cassette subfamily C member 5
FAU	0.356	0.0164	FAU ubiquitin like and ribosomal protein S30 fusion
PPID	0.356	0.0165	peptidylprolyl isomerase D
DBN1	0.355	0.0167	drebrin 1
MTHFD2L	-0.355	0.0168	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like
HEATR5A	0.355	0.0168	HEAT repeat containing 5A
XRCC2	0.554	0.017	X-ray repair cross complementing 2
OS9	0.354	0.017	OS9 endoplasmic reticulum lectin
VKORC1L1	0.456	0.017	vitamin K epoxide reductase complex subunit 1 like 1
STAU2	0.354	0.0171	staufen double-stranded RNA binding protein 2
EPS8	0.354	0.0171	epidermal growth factor receptor pathway substrate 8
MLH1	0.353	0.0172	mutL homolog 1
FCHSD2	0.354	0.0172	FCH and double SH3 domains 2
IDI1	0.353	0.0173	isopentenyl-diphosphate delta isomerase 1
LCMT2	0.353	0.0175	leucine carboxyl methyltransferase 2
SCAND1	0.394	0.0175	SCAN domain containing 1
INTS5	0.352	0.0176	integrator complex subunit 5
ZNF830	0.352	0.0176	zinc finger protein 830
S100P	0.352	0.0176	S100 calcium binding protein P
C2CD2L	0.352	0.0178	C2CD2 like
S100A11	0.352	0.0178	S100 calcium binding protein A11
ELAC1	-0.352	0.0178	elaC ribonuclease Z 1
MEX3B	0.452	0.0179	mex-3 RNA binding family member B
GPC3	0.392	0.018	glypican 3
TMEM194A	0.351	0.018	nuclear envelope integral membrane protein 1
RPS6KA1	-0.351	0.0182	ribosomal protein S6 kinase A1
RAVER2	-0.351	0.0182	ribonucleoprotein, PTB binding 2
SH3BP4	0.35	0.0183	SH3 domain binding protein 4
NLE1	0.35	0.0183	notchless homolog 1
SNX15	-0.35	0.0184	sorting nexin 15
ADIPOR1	0.391	0.0184	adiponectin receptor 1
LSS	0.35	0.0185	lanosterol synthase
WDTC1	-0.35	0.0185	WD and tetratricopeptide repeats 1
GFOD1	-0.349	0.0186	glucose-fructose oxidoreductase domain containing 1
HMGN5	0.349	0.0187	high mobility group nucleosome binding domain 5
EXOG	-0.349	0.0187	exo/endonuclease G
TOR1B	0.349	0.0188	torsin family 1 member B
RSPH4A	0.547	0.0189	radial spoke head component 4A
PDE4DIP	0.349	0.0189	phosphodiesterase 4D interacting protein
LGALS8	0.348	0.0191	galectin 8
ZFAND6	0.348	0.0191	zinc finger AN1-type containing 6
FAR2	0.348	0.0191	fatty acyl-CoA reductase 2
KAT5	-0.348	0.0191	lysine acetyltransferase 5
ATP9A	0.348	0.0191	ATPase phospholipid transporting 9A (putative)
ALOX12B	0.753	0.0192	arachidonate 12-lipoxygenase, 12R type
HEXB	0.348	0.0192	hexosaminidase subunit beta
SRP54	0.347	0.0194	signal recognition particle 54
EXD3	-0.388	0.0194	exonuclease 3'-5' domain containing 3
AMACR	0.347	0.0194	alpha-methylacyl-CoA racemase
SAPCD2	0.388	0.0195	suppressor APC domain containing 2
STK25	0.347	0.0195	serine/threonine kinase 25
USP3	0.347	0.0196	ubiquitin specific peptidase 3
PRELID1	0.446	0.0197	PRELI domain containing 1
SPDEF	0.347	0.0197	SAM pointed domain containing ETS transcription factor
MAGED1	0.346	0.0198	MAGE family member D1
SZT2	-0.346	0.0198	SZT2 subunit of KICSTOR complex
GSDMB	0.751	0.0198	gasdermin B
RPP14	0.346	0.02	ribonuclease P/MRP subunit p14
HNRNPAB	0.346	0.02	heterogeneous nuclear ribonucleoprotein A/B
RXRA	0.346	0.0201	retinoid X receptor alpha
AMBRA1	0.346	0.0201	autophagy and beclin 1 regulator 1
ZNF296	0.542	0.0201	zinc finger protein 296
SLC6A11	0.749	0.0202	solute carrier family 6 member 11
POMP	0.345	0.0202	proteasome maturation protein
RBPMS	0.345	0.0202	RNA binding protein, mRNA processing factor
UBE2S	0.345	0.0202	ubiquitin conjugating enzyme E2 S
ACAD11	0.345	0.0202	acyl-CoA dehydrogenase family member 11
BAMBI	0.444	0.0203	BMP and activin membrane bound inhibitor
UBE2R2	0.344	0.0205	ubiquitin conjugating enzyme E2 R2
GTF2H3	0.344	0.0206	general transcription factor IIH subunit 3
HSPBP1	0.344	0.0206	HSPA (Hsp70) binding protein 1
CSTF3	0.344	0.0207	cleavage stimulation factor subunit 3
SLC35B1	0.344	0.0208	solute carrier family 35 member B1
TDRD12	-0.54	0.0208	tudor domain containing 12
TAX1BP1	0.344	0.0208	Tax1 binding protein 1
SPRY1	0.54	0.0208	sprouty RTK signaling antagonist 1
MIDN	0.54	0.0208	midnolin
ELP3	0.344	0.0208	elongator acetyltransferase complex subunit 3
FBXO31	-0.442	0.0209	F-box protein 31
SGSM3	0.343	0.0209	small G protein signaling modulator 3
USP48	-0.343	0.0209	ubiquitin specific peptidase 48
PER3	-0.539	0.021	period circadian regulator 3
TSPAN15	0.343	0.021	tetraspanin 15
AMZ2	0.343	0.0211	archaelysin family metallopeptidase 2
SREBF2	0.343	0.0211	sterol regulatory element binding transcription factor 2
PDCD2	0.343	0.0211	programmed cell death 2
MICU2	0.343	0.0211	mitochondrial calcium uptake 2
CLIP4	-0.383	0.0212	CAP-Gly domain containing linker protein family member 4
TMEM45B	0.383	0.0212	transmembrane protein 45B
CLCN3	0.342	0.0217	chloride voltage-gated channel 3
CDK18	-0.341	0.0218	cyclin dependent kinase 18
PDPR	-0.341	0.0218	pyruvate dehydrogenase phosphatase regulatory subunit
DGUOK	-0.341	0.0218	deoxyguanosine kinase
CRELD1	0.341	0.0219	cysteine rich with EGF like domains 1
CTDNEP1	-0.341	0.0219	CTD nuclear envelope phosphatase 1
TJP2	0.341	0.0219	tight junction protein 2
HSPH1	0.341	0.022	heat shock protein family H (Hsp110) member 1
RECQL5	0.34	0.0221	RecQ like helicase 5
KDM6B	0.38	0.0221	lysine demethylase 6B
USP37	0.38	0.0222	ubiquitin specific peptidase 37
LRRC20	0.34	0.0223	leucine rich repeat containing 20
ABHD16A	0.34	0.0223	abhydrolase domain containing 16A, phospholipase
TMEM184C	0.34	0.0223	transmembrane protein 184C
SLC35B3	0.34	0.0223	solute carrier family 35 member B3
MB21D2	0.34	0.0224	Mab-21 domain containing 2
GAPVD1	0.34	0.0225	GTPase activating protein and VPS9 domains 1
ZBTB40	-0.339	0.0225	zinc finger and BTB domain containing 40
PRMT6	-0.34	0.0225	protein arginine methyltransferase 6
IPO11	0.339	0.0225	importin 11
ZNF324B	0.438	0.0225	zinc finger protein 324B
TTC38	-0.339	0.0226	tetratricopeptide repeat domain 38
RIMS3	-0.437	0.0227	regulating synaptic membrane exocytosis 3
TMEM159	0.339	0.0228	lipid droplet assembly factor 1
ITGA9	-0.339	0.0229	integrin subunit alpha 9
M1AP	0.739	0.0229	meiosis 1 associated protein
ZNF512	-0.339	0.0229	zinc finger protein 512
PRR24	0.739	0.023	InaF motif containing 1
GNG7	-0.338	0.023	G protein subunit gamma 7
CDKN2AIPNL	0.338	0.023	CDKN2A interacting protein N-terminal like
TNRC18	0.338	0.0231	trinucleotide repeat containing 18
KDM5B	0.338	0.0231	lysine demethylase 5B
PLCG1	0.338	0.0232	phospholipase C gamma 1
USH1C	-0.738	0.0232	USH1 protein network component harmonin
STX4	-0.338	0.0232	syntaxin 4
TMCC1	0.337	0.0234	transmembrane and coiled-coil domain family 1
HOXB2	0.737	0.0234	homeobox B2
ZNF320	0.435	0.0235	zinc finger protein 320
PRPSAP2	-0.337	0.0235	phosphoribosyl pyrophosphate synthetase associated protein 2
SPRY4	0.377	0.0235	sprouty RTK signaling antagonist 4
SRXN1	0.337	0.0235	sulfiredoxin 1
ACAA1	0.337	0.0236	acetyl-CoA acyltransferase 1
TSEN34	0.337	0.0237	tRNA splicing endonuclease subunit 34
PPAPDC2	0.337	0.0238	phospholipid phosphatase 6
LATS1	0.336	0.0239	large tumor suppressor kinase 1
ATPAF2	-0.336	0.024	ATP synthase mitochondrial F1 complex assembly factor 2
ATP12A	-0.433	0.024	ATPase H+/K+ transporting non-gastric alpha2 subunit
MEF2C	-0.336	0.024	myocyte enhancer factor 2C
TBCB	-0.336	0.0241	tubulin folding cofactor B
LRRC23	-0.734	0.0242	leucine rich repeat containing 23
DTWD2	0.336	0.0242	DTW domain containing 2
ZNF385A	0.335	0.0243	zinc finger protein 385A
MRPL42	0.335	0.0243	mitochondrial ribosomal protein L42
WDR77	-0.335	0.0243	WD repeat domain 77
HACL1	0.335	0.0243	2-hydroxyacyl-CoA lyase 1
ARHGAP1	0.335	0.0244	Rho GTPase activating protein 1
PRDX1	-0.335	0.0246	peroxiredoxin 1
SAP30L	0.335	0.0246	SAP30 like
SRP19	0.335	0.0247	signal recognition particle 19
CISD2	0.334	0.0247	CDGSH iron sulfur domain 2
BMP8A	0.334	0.0248	bone morphogenetic protein 8a
WASL	0.334	0.0249	WASP like actin nucleation promoting factor
GATSL2	-0.431	0.0249	cytosolic arginine sensor for mTORC1 subunit 2
ITGAV	0.334	0.0249	integrin subunit alpha V
GPRC5A	0.334	0.0251	G protein-coupled receptor class C group 5 member A
KIAA1161	0.333	0.0252	myogenesis regulating glycosidase (putative)
LSMD1	0.372	0.0253	N-alpha-acetyltransferase 38, NatC auxiliary subunit
MBOAT2	0.333	0.0253	membrane bound O-acyltransferase domain containing 2
SURF2	0.333	0.0253	surfeit 2
PRRC2B	0.333	0.0253	proline rich coiled-coil 2B
PDCD5	-0.333	0.0253	programmed cell death 5
ZNF354A	0.525	0.0254	zinc finger protein 354A
WASF2	-0.333	0.0254	WASP family member 2
ZNF486	0.525	0.0254	zinc finger protein 486
NUDT5	-0.333	0.0255	nudix hydrolase 5
PLD4	-0.372	0.0256	phospholipase D family member 4
NRROS	0.73	0.0257	negative regulator of reactive oxygen species
B4GALNT2	0.524	0.0257	beta-1,4-N-acetyl-galactosaminyltransferase 2
CREBL2	-0.332	0.0259	cAMP responsive element binding protein like 2
YAE1D1	0.332	0.0259	YAE1 maturation factor of ABCE1
RSBN1	-0.332	0.026	round spermatid basic protein 1
HYI	-0.332	0.026	hydroxypyruvate isomerase (putative)
ZNF141	0.522	0.0262	zinc finger protein 141
TMC6	0.37	0.0263	transmembrane channel like 6
MOB3C	-0.37	0.0263	MOB kinase activator 3C
MAL2	0.331	0.0263	mal, T cell differentiation protein 2
AK2	-0.331	0.0264	adenylate kinase 2
CCDC85B	0.331	0.0264	coiled-coil domain containing 85B
HPS6	0.331	0.0265	HPS6 biogenesis of lysosomal organelles complex 2 subunit 3
RAPGEFL1	0.426	0.0265	Rap guanine nucleotide exchange factor like 1
CDO1	0.521	0.0266	cysteine dioxygenase type 1
SLC35F6	0.331	0.0266	solute carrier family 35 member F6
DNAAF2	0.33	0.0266	dynein axonemal assembly factor 2
TUBA4A	-0.33	0.0267	tubulin alpha 4a
LYRM2	0.33	0.0267	LYR motif containing 2
TNKS1BP1	0.33	0.0267	tankyrase 1 binding protein 1
UROS	0.33	0.0268	uroporphyrinogen III synthase
OAZ2	-0.726	0.0269	ornithine decarboxylase antizyme 2
C17orf62	0.33	0.027	cytochrome b-245 chaperone 1
GUF1	0.33	0.027	GTP binding elongation factor GUF1
FIZ1	0.329	0.0271	FLT3 interacting zinc finger 1
AK3	-0.33	0.0271	adenylate kinase 3
SLC35D1	0.329	0.0271	solute carrier family 35 member D1
MTFR1L	-0.329	0.0272	mitochondrial fission regulator 1 like
VMP1	0.329	0.0273	vacuole membrane protein 1
PBDC1	0.329	0.0273	polysaccharide biosynthesis domain containing 1
SCP2	0.329	0.0273	sterol carrier protein 2
GLTSCR1L	-0.329	0.0275	BICRA like chromatin remodeling complex associated protein
ETNK2	0.328	0.0276	ethanolamine kinase 2
PFN2	-0.328	0.0276	profilin 2
POLE4	0.328	0.0278	DNA polymerase epsilon 4, accessory subunit
ZFHX3	0.328	0.028	zinc finger homeobox 3
HSD17B4	0.327	0.0281	hydroxysteroid 17-beta dehydrogenase 4
LEFTY2	-0.517	0.0282	left-right determination factor 2
CLTA	0.327	0.0282	clathrin light chain A
C19orf47	-0.327	0.0282	chromosome 19 open reading frame 47
RBM12	0.327	0.0283	RNA binding motif protein 12
ZNF468	-0.721	0.0283	zinc finger protein 468
UBALD2	0.366	0.0283	UBA like domain containing 2
UNK	0.327	0.0284	unk zinc finger
YIPF5	0.327	0.0284	Yip1 domain family member 5
TMEM132A	0.327	0.0284	transmembrane protein 132A
ZNF43	-0.327	0.0284	zinc finger protein 43
MOB3B	-0.327	0.0285	MOB kinase activator 3B
EBF4	0.72	0.0286	EBF family member 4
SEC22A	0.326	0.0286	SEC22 homolog A, vesicle trafficking protein
FICD	-0.326	0.0286	FIC domain protein adenylyltransferase
SAMD12	0.327	0.0286	sterile alpha motif domain containing 12
LGALS12	-0.421	0.0287	galectin 12
JMJD4	0.326	0.0288	jumonji domain containing 4
TCEB3	-0.326	0.0288	elongin A
RIPK1	0.326	0.0288	receptor interacting serine/threonine kinase 1
GAK	0.326	0.0289	cyclin G associated kinase
RAB3GAP1	0.326	0.0289	RAB3 GTPase activating protein catalytic subunit 1
RAB8B	-0.326	0.0289	RAB8B, member RAS oncogene family
TMEM123	-0.326	0.0289	transmembrane protein 123
SARS2	-0.326	0.029	seryl-tRNA synthetase 2, mitochondrial
GCC1	0.326	0.029	GRIP and coiled-coil domain containing 1
NR2C2	-0.325	0.0292	nuclear receptor subfamily 2 group C member 2
RAD54L	-0.514	0.0293	RAD54 like
GNAI1	-0.325	0.0294	G protein subunit alpha i1
LARP4	0.325	0.0294	La ribonucleoprotein 4
ZNF217	0.325	0.0294	zinc finger protein 217
SPANXN4	0.718	0.0295	SPANX family member N4
CERS6	0.325	0.0295	ceramide synthase 6
GRK5	-0.325	0.0295	G protein-coupled receptor kinase 5
ENY2	0.325	0.0295	ENY2 transcription and export complex 2 subunit
SLC48A1	-0.717	0.0297	solute carrier family 48 member 1
CHMP7	0.324	0.0298	charged multivesicular body protein 7
EIF4E3	-0.362	0.0298	eukaryotic translation initiation factor 4E family member 3
TTI1	0.324	0.0299	TELO2 interacting protein 1
P2RY12	-0.324	0.03	purinergic receptor P2Y12
ZCCHC17	-0.324	0.03	zinc finger CCHC-type containing 17
SEMA3A	0.418	0.0301	semaphorin 3A
TMEM9B	0.323	0.0302	TMEM9 domain family member B
SULT2B1	0.324	0.0302	sulfotransferase family 2B member 1
FKBP8	-0.323	0.0305	FKBP prolyl isomerase 8
ZNF185	-0.323	0.0306	zinc finger protein 185 with LIM domain
RTF1	0.323	0.0307	RTF1 homolog, Paf1/RNA polymerase II complex component
COG5	0.322	0.0308	component of oligomeric golgi complex 5
RHOU	0.509	0.0308	ras homolog family member U
DCAF7	0.322	0.0308	DDB1 and CUL4 associated factor 7
DERL1	0.322	0.0308	derlin 1
ELOVL7	-0.509	0.0309	ELOVL fatty acid elongase 7
ARMC9	0.322	0.031	armadillo repeat containing 9
SLC35A3	0.322	0.031	solute carrier family 35 member A3
DUS1L	0.322	0.0311	dihydrouridine synthase 1 like
NR3C1	-0.322	0.0311	nuclear receptor subfamily 3 group C member 1
ZKSCAN4	-0.322	0.0312	zinc finger with KRAB and SCAN domains 4
PDPK1	0.322	0.0312	3-phosphoinositide dependent protein kinase 1
MIIP	-0.37	0.0312	migration and invasion inhibitory protein
LEO1	0.322	0.0312	LEO1 homolog, Paf1/RNA polymerase II complex component
KLHL11	-0.322	0.0313	kelch like family member 11
ADAMTS12	0.321	0.0313	ADAM metallopeptidase with thrombospondin type 1 motif 12
C11orf31	-0.321	0.0314	selenoprotein H
CAND2	-0.321	0.0314	cullin associated and neddylation dissociated 2 (putative)
TNRC6C	0.321	0.0316	trinucleotide repeat containing adaptor 6C
UNC119B	-0.321	0.0318	unc-119 lipid binding chaperone B
GTPBP3	-0.321	0.0318	GTP binding protein 3, mitochondrial
INTS7	0.32	0.0319	integrator complex subunit 7
RMDN3	0.32	0.032	regulator of microtubule dynamics 3
AP2A1	0.32	0.032	adaptor related protein complex 2 subunit alpha 1
FAM49A	-0.32	0.0321	CYFIP related Rac1 interactor A
STYX	0.32	0.0321	serine/threonine/tyrosine interacting protein
PTOV1	0.71	0.0322	PTOV1 extended AT-hook containing adaptor protein
TMEM231	-0.32	0.0322	transmembrane protein 231
XPR1	0.32	0.0323	xenotropic and polytropic retrovirus receptor 1
TSPYL1	0.32	0.0323	TSPY like 1
HRAS	0.319	0.0324	HRas proto-oncogene, GTPase
C7orf43	0.319	0.0325	trafficking protein particle complex subunit 14
PRPS2	-0.319	0.0325	phosphoribosyl pyrophosphate synthetase 2
GPCPD1	0.319	0.0326	glycerophosphocholine phosphodiesterase 1
PDE10A	0.319	0.0326	phosphodiesterase 10A
NAPG	0.319	0.0326	NSF attachment protein gamma
TMEM141	0.319	0.0329	transmembrane protein 141
DFFA	-0.318	0.0331	DNA fragmentation factor subunit alpha
MYBL2	0.411	0.0332	MYB proto-oncogene like 2
GTF3C3	0.318	0.0332	general transcription factor IIIC subunit 3
PAQR8	-0.503	0.0333	progestin and adipoQ receptor family member 8
ZC3H7B	0.318	0.0333	zinc finger CCCH-type containing 7B
SPRED1	0.411	0.0334	sprouty related EVH1 domain containing 1
FUBP3	0.318	0.0334	far upstream element binding protein 3
EPHA1	0.318	0.0334	EPH receptor A1
CD69	0.318	0.0334	CD69 molecule
LAG3	-0.706	0.0336	lymphocyte activating 3
ETFA	0.317	0.0338	electron transfer flavoprotein subunit alpha
FAM160A1	0.317	0.0338	FHF complex subunit HOOK interacting protein 1A
FAIM	-0.317	0.0339	Fas apoptotic inhibitory molecule
EFNB2	0.317	0.0339	ephrin B2
SUPT20H	0.317	0.034	SPT20 homolog, SAGA complex component
ZUFSP	0.705	0.034	zinc finger containing ubiquitin peptidase 1
PEX11B	0.317	0.0341	peroxisomal biogenesis factor 11 beta
ARHGEF26	0.317	0.0341	Rho guanine nucleotide exchange factor 26
NDUFA13	-0.316	0.0342	NADH:ubiquinone oxidoreductase subunit A13
SMIM8	-0.316	0.0342	small integral membrane protein 8
MAP2	-0.316	0.0343	microtubule associated protein 2
IRF3	0.316	0.0344	interferon regulatory factor 3
IGKV1D-8	0.5	0.0344	immunoglobulin kappa variable 1D-8
MBTD1	0.316	0.0345	mbt domain containing 1
PLEKHG5	-0.316	0.0345	pleckstrin homology and RhoGEF domain containing G5
ARL6	-0.316	0.0345	ADP ribosylation factor like GTPase 6
UBXN6	-0.316	0.0345	UBX domain protein 6
COL24A1	0.703	0.0346	collagen type XXIV alpha 1 chain
RGPD3	-0.703	0.0346	RANBP2 like and GRIP domain containing 3
NR1D1	0.353	0.0346	nuclear receptor subfamily 1 group D member 1
COX20	-0.316	0.0346	cytochrome c oxidase assembly factor COX20
PPP3R1	0.316	0.0347	protein phosphatase 3 regulatory subunit B, alpha
STK11IP	-0.315	0.0348	serine/threonine kinase 11 interacting protein
UBE2Q1	0.315	0.0348	ubiquitin conjugating enzyme E2 Q1
ADAM9	0.315	0.0349	ADAM metallopeptidase domain 9
TTC22	-0.315	0.035	tetratricopeptide repeat domain 22
SERPINB7	0.315	0.035	serpin family B member 7
EPB41	-0.315	0.035	erythrocyte membrane protein band 4.1
MGEA5	0.315	0.0351	O-GlcNAcase
MRPL32	0.315	0.0351	mitochondrial ribosomal protein L32
SEC13	0.315	0.0352	SEC13 homolog, nuclear pore and COPII coat complex component
ELF3	0.315	0.0352	E74 like ETS transcription factor 3
PIGQ	0.315	0.0352	phosphatidylinositol glycan anchor biosynthesis class Q
ACTR5	0.314	0.0354	actin related protein 5
TBC1D32	0.352	0.0354	TBC1 domain family member 32
TACC1	0.314	0.0354	transforming acidic coiled-coil containing protein 1
NYNRIN	-0.315	0.0354	NYN domain and retroviral integrase containing
RWDD2A	0.314	0.0354	RWD domain containing 2A
LLGL1	-0.314	0.0358	LLGL scribble cell polarity complex component 1
PNPLA7	-0.314	0.0358	patatin like phospholipase domain containing 7
NTMT1	0.314	0.0359	N-terminal Xaa-Pro-Lys N-methyltransferase 1
SLC52A3	0.351	0.0359	solute carrier family 52 member 3
KLHL36	-0.313	0.0361	kelch like family member 36
SFRP1	-0.313	0.0361	secreted frizzled related protein 1
PKNOX2	0.699	0.0361	PBX/knotted 1 homeobox 2
CELSR2	-0.313	0.0363	cadherin EGF LAG seven-pass G-type receptor 2
RPL18A	0.313	0.0363	ribosomal protein L18a
ZBTB4	-0.313	0.0364	zinc finger and BTB domain containing 4
ENC1	0.313	0.0364	ectodermal-neural cortex 1
PRPF6	0.313	0.0364	pre-mRNA processing factor 6
KRT82	0.698	0.0365	keratin 82
NME1-NME2	0.496	0.0365	NME1-NME2 readthrough
TAOK2	0.313	0.0365	TAO kinase 2
DHRS2	0.313	0.0366	dehydrogenase/reductase 2
MBD4	-0.313	0.0366	methyl-CpG binding domain 4, DNA glycosylase
GOLM1	0.313	0.0366	golgi membrane protein 1
CBX7	-0.313	0.0366	chromobox 7
ZFYVE1	0.312	0.0367	zinc finger FYVE-type containing 1
ICT1	0.312	0.0368	mitochondrial ribosomal protein L58
FJX1	-0.404	0.0369	four-jointed box kinase 1
IGHV4-28	-0.495	0.0369	immunoglobulin heavy variable 4-28
SPTLC3	0.312	0.0369	serine palmitoyltransferase long chain base subunit 3
TDRD1	0.697	0.0369	tudor domain containing 1
C2orf43	0.312	0.0369	lipid droplet associated hydrolase
DDT	-0.312	0.037	D-dopachrome tautomerase
RC3H1	0.312	0.037	ring finger and CCCH-type domains 1
KDM4A	-0.312	0.0371	lysine demethylase 4A
EIF1B	0.349	0.0372	eukaryotic translation initiation factor 1B
HMGXB3	0.311	0.0375	HMG-box containing 3
GDE1	0.311	0.0375	glycerophosphodiester phosphodiesterase 1
TSC2	0.311	0.0375	TSC complex subunit 2
ZNF197	0.402	0.0378	zinc finger protein 197
C22orf39	0.347	0.0378	chromosome 22 open reading frame 39
KHK	-0.311	0.0378	ketohexokinase
CRABP2	0.311	0.0378	cellular retinoic acid binding protein 2
UBR7	0.31	0.0381	ubiquitin protein ligase E3 component n-recognin 7
EARS2	0.31	0.0381	glutamyl-tRNA synthetase 2, mitochondrial
KRTAP11-1	0.694	0.0381	keratin associated protein 11-1
PLCH2	-0.31	0.0382	phospholipase C eta 2
