Gene	p value	Name
LCTL	>0.1	lactase like
VARS	>0.1	valyl-tRNA synthetase 1
PXDNL	>0.1	peroxidasin like
SIRPG	>0.1	signal regulatory protein gamma
PPIL1	>0.1	peptidylprolyl isomerase like 1
H19	>0.1	H19 imprinted maternally expressed transcript
WSCD1	>0.1	WSC domain containing 1
LRRC38	>0.1	leucine rich repeat containing 38
WBSCR22	>0.1	BUD23 rRNA methyltransferase and ribosome maturation factor
JAM2	>0.1	junctional adhesion molecule 2
DHRS2	>0.1	dehydrogenase/reductase 2
LOC101928880	>0.1	
GPC5	>0.1	glypican 5
CCDC110	>0.1	coiled-coil domain containing 110
IGFL3	>0.1	IGF like family member 3
RNF130	>0.1	ring finger protein 130
SKIDA1	>0.1	SKI/DACH domain containing 1
MAP2K7	>0.1	mitogen-activated protein kinase kinase 7
CASP8	>0.1	caspase 8
PIH1D1	>0.1	PIH1 domain containing 1
ZCCHC11	>0.1	terminal uridylyl transferase 4
AGK	>0.1	acylglycerol kinase
SORL1	>0.1	sortilin related receptor 1
MFGE8	>0.1	milk fat globule EGF and factor V/VIII domain containing
CDK16	>0.1	cyclin dependent kinase 16
BCL2L12	>0.1	BCL2 like 12
TTC21B	>0.1	tetratricopeptide repeat domain 21B
C1orf140	>0.1	long intergenic non-protein coding RNA 2817
LINC00839	>0.1	long intergenic non-protein coding RNA 839
NEURL3	>0.1	neuralized E3 ubiquitin protein ligase 3
TMOD2	>0.1	tropomodulin 2
KRTAP5-4	>0.1	keratin associated protein 5-4
HIST1H1C	>0.1	H1.2 linker histone, cluster member
CLOCK	>0.1	clock circadian regulator
TSSC4	>0.1	tumor suppressing subtransferable candidate 4
GUCY2GP	>0.1	guanylate cyclase 2G, pseudogene
SNX32	>0.1	sorting nexin 32
LOC220729	>0.1	
NELL2	>0.1	neural EGFL like 2
SOX10	>0.1	SRY-box transcription factor 10
DNM3OS	>0.1	DNM3 opposite strand/antisense RNA
CCDC88B	>0.1	coiled-coil domain containing 88B
CCDC151	>0.1	outer dynein arm docking complex subunit 3
SBSN	>0.1	suprabasin
SPACA1	>0.1	sperm acrosome associated 1
OR2A20P	>0.1	olfactory receptor family 2 subfamily A member 20 pseudogene
KIF9-AS1	>0.1	KIF9 antisense RNA 1
GAPVD1	>0.1	GTPase activating protein and VPS9 domains 1
LOC401127	>0.1	WD repeat domain 5 pseudogene(LOC401127)
CYP20A1	>0.1	cytochrome P450 family 20 subfamily A member 1
ZNF548	>0.1	zinc finger protein 548
SLAMF7	>0.1	SLAM family member 7
CA2	>0.1	carbonic anhydrase 2
PRX	>0.1	periaxin
SNURF	>0.1	SNRPN upstream open reading frame
DUOX1	>0.1	dual oxidase 1
CLEC10A	>0.1	C-type lectin domain containing 10A
LINC00620	>0.1	long intergenic non-protein coding RNA 620
LOC729609	>0.1	uncharacterized LOC729609(LOC729609)
MTHFS	>0.1	methenyltetrahydrofolate synthetase
CHEK2	>0.1	checkpoint kinase 2
VSX1	>0.1	visual system homeobox 1
ZNF79	>0.1	zinc finger protein 79
CLCA4	>0.1	chloride channel accessory 4
TMEM234	>0.1	transmembrane protein 234
TLR2	>0.1	toll like receptor 2
TRAT1	>0.1	T cell receptor associated transmembrane adaptor 1
RNASE7	>0.1	ribonuclease A family member 7
DPT	>0.1	dermatopontin
C14orf166	>0.1	RNA transcription, translation and transport factor
TCEA2	>0.1	transcription elongation factor A2
CCBE1	>0.1	collagen and calcium binding EGF domains 1
PFN4	>0.1	profilin family member 4
NUDT16L1	>0.1	nudix hydrolase 16 like 1
SYT5	>0.1	synaptotagmin 5
SKP2	>0.1	S-phase kinase associated protein 2
LOC102724631	>0.1	
KIN	>0.1	Kin17 DNA and RNA binding protein
KMT2B	>0.1	lysine methyltransferase 2B
CHD2	>0.1	chromodomain helicase DNA binding protein 2
RANBP9	>0.1	RAN binding protein 9
FCRL1	>0.1	Fc receptor like 1
LOC100130331	>0.1	POTE ankyrin domain family, member F pseudogene(LOC100130331)
KLK12	>0.1	kallikrein related peptidase 12
KCNS3	>0.1	potassium voltage-gated channel modifier subfamily S member 3
HOXB2	>0.1	homeobox B2
TLR8-AS1	>0.1	TLR8 antisense RNA 1
CALML4	>0.1	calmodulin like 4
GREB1L	>0.1	GREB1 like retinoic acid receptor coactivator
DPPA3	>0.1	developmental pluripotency associated 3
LTF	>0.1	lactotransferrin
PCDHA12	>0.1	protocadherin alpha 12
MPP6	>0.1	protein associated with LIN7 2, MAGUK p55 family member
COPZ1	>0.1	COPI coat complex subunit zeta 1
STOML3	>0.1	stomatin like 3
GLOD4	>0.1	glyoxalase domain containing 4
PDLIM1	>0.1	PDZ and LIM domain 1
LCE3E	>0.1	late cornified envelope 3E
SPESP1	>0.1	sperm equatorial segment protein 1
FER	>0.1	FER tyrosine kinase
LOH12CR2	>0.1	loss of heterozygosity on chromosome 12, region 2
SLC35F4	>0.1	solute carrier family 35 member F4
SLC2A1	>0.1	solute carrier family 2 member 1
LOC152225	>0.1	
TEX19	>0.1	testis expressed 19
SMYD1	>0.1	SET and MYND domain containing 1
TACC1	>0.1	transforming acidic coiled-coil containing protein 1
PITPNC1	>0.1	phosphatidylinositol transfer protein cytoplasmic 1
FST	>0.1	follistatin
FERD3L	>0.1	Fer3 like bHLH transcription factor
CAPS	>0.1	calcyphosine
PARP14	>0.1	poly(ADP-ribose) polymerase family member 14
SAR1B	>0.1	secretion associated Ras related GTPase 1B
LINC00493	>0.1	small integral membrane protein 26
PGM2L1	>0.1	phosphoglucomutase 2 like 1
PNPLA8	>0.1	patatin like phospholipase domain containing 8
BNIP3	>0.1	BCL2 interacting protein 3
LRRC46	>0.1	leucine rich repeat containing 46
MYOM3	>0.1	myomesin 3
RDX	>0.1	radixin
TSPYL4	>0.1	TSPY like 4
LOC440461	>0.1	
TMED3	>0.1	transmembrane p24 trafficking protein 3
BPIFB1	>0.1	BPI fold containing family B member 1
CD2AP	>0.1	CD2 associated protein
FBP2	>0.1	fructose-bisphosphatase 2
GSG2	>0.1	histone H3 associated protein kinase
ZFX	>0.1	zinc finger protein X-linked
DNAJC10	>0.1	DnaJ heat shock protein family (Hsp40) member C10
GNN	>0.1	
EXT1	>0.1	exostosin glycosyltransferase 1
GPBAR1	>0.1	G protein-coupled bile acid receptor 1
LDB1	>0.1	LIM domain binding 1
LAMP5	>0.1	lysosomal associated membrane protein family member 5
EPB41L4A-AS2	>0.1	EPB41L4A divergent transcript
PLTP	>0.1	phospholipid transfer protein
SLC22A11	>0.1	solute carrier family 22 member 11
PCDHGA2	>0.1	protocadherin gamma subfamily A, 2
PCOLCE	>0.1	procollagen C-endopeptidase enhancer
ITGB2	>0.1	integrin subunit beta 2
PELP1	>0.1	proline, glutamate and leucine rich protein 1
PRR4	>0.1	proline rich 4
LOC100131691	>0.1	
CENPP	>0.1	centromere protein P
C3orf52	>0.1	chromosome 3 open reading frame 52
SLC2A4	>0.1	solute carrier family 2 member 4
CPEB2-AS1	>0.1	CPEB2 divergent transcript
IQCD	>0.1	IQ motif containing D
METTL22	>0.1	methyltransferase 22, Kin17 lysine
SMOC1	>0.1	SPARC related modular calcium binding 1
LINS	>0.1	lines homolog 1
DTD1	>0.1	D-aminoacyl-tRNA deacylase 1
SEPP1	>0.1	selenoprotein P
CST1	>0.1	cystatin SN
NPAS2	>0.1	neuronal PAS domain protein 2
IL1F10	>0.1	interleukin 1 family member 10
OR6K6	>0.1	olfactory receptor family 6 subfamily K member 6
KRT6C	>0.1	keratin 6C
COLCA2	>0.1	colorectal cancer associated 2
SP6	>0.1	Sp6 transcription factor
ACACB	>0.1	acetyl-CoA carboxylase beta
STON1-GTF2A1L	>0.1	STON1-GTF2A1L readthrough
HMBS	>0.1	hydroxymethylbilane synthase
LDHD	>0.1	lactate dehydrogenase D
SLC25A44	>0.1	solute carrier family 25 member 44
SLC25A37	>0.1	solute carrier family 25 member 37
HRH3	>0.1	histamine receptor H3
CYP4F3	>0.1	cytochrome P450 family 4 subfamily F member 3
FLJ30679	>0.1	uncharacterized protein FLJ30679(FLJ30679)
ALMS1	>0.1	ALMS1 centrosome and basal body associated protein
LRG1	>0.1	leucine rich alpha-2-glycoprotein 1
FAM214A	>0.1	family with sequence similarity 214 member A
SPATA24	>0.1	spermatogenesis associated 24
PCDHGA12	>0.1	protocadherin gamma subfamily A, 12
FAM58A	>0.1	cyclin Q
IL21R	>0.1	interleukin 21 receptor
LST1	>0.1	leukocyte specific transcript 1
MAGEB2	>0.1	MAGE family member B2
CHP1	>0.1	calcineurin like EF-hand protein 1
GNGT1	>0.1	G protein subunit gamma transducin 1
ART3	>0.1	ADP-ribosyltransferase 3 (inactive)
SPINT1	>0.1	serine peptidase inhibitor, Kunitz type 1
GSTM5	>0.1	glutathione S-transferase mu 5
SCN9A	>0.1	sodium voltage-gated channel alpha subunit 9
C1orf105	>0.1	chromosome 1 open reading frame 105
ZHX2	>0.1	zinc fingers and homeoboxes 2
FAM138A	>0.1	family with sequence similarity 138 member A
PLCXD3	>0.1	phosphatidylinositol specific phospholipase C X domain containing 3
PBX4	>0.1	PBX homeobox 4
HERC3	>0.1	HECT and RLD domain containing E3 ubiquitin protein ligase 3
YTHDC1	>0.1	YTH domain containing 1
POLR3G	>0.1	RNA polymerase III subunit G
DDIT4	>0.1	DNA damage inducible transcript 4
SATB1	>0.1	SATB homeobox 1
FLJ22447	>0.1	long intergenic non-protein coding RNA 3033
TAS2R19	>0.1	taste 2 receptor member 19
SCAND2P	>0.1	SCAN domain containing 2 pseudogene
PDSS2	>0.1	decaprenyl diphosphate synthase subunit 2
SLC38A10	>0.1	solute carrier family 38 member 10
DEPDC1B	>0.1	DEP domain containing 1B
MDFI	>0.1	MyoD family inhibitor
MFSD10	>0.1	major facilitator superfamily domain containing 10
BMP1	>0.1	bone morphogenetic protein 1
XKRY2	>0.1	XK related, Y-linked 2
GUCY1B2	>0.1	guanylate cyclase 1 soluble subunit beta 2 (pseudogene)
CYB5D1	>0.1	cytochrome b5 domain containing 1
HCAR1	>0.1	hydroxycarboxylic acid receptor 1
OLFML2B	>0.1	olfactomedin like 2B
SLC2A7	>0.1	solute carrier family 2 member 7
FAM136A	>0.1	family with sequence similarity 136 member A
RNF215	>0.1	ring finger protein 215
LINC00266-1	>0.1	septin 14 pseudogene 20
PIGL	>0.1	phosphatidylinositol glycan anchor biosynthesis class L
MTM1	>0.1	myotubularin 1
SAPCD2	>0.1	suppressor APC domain containing 2
ID2	>0.1	inhibitor of DNA binding 2
NCR3	>0.1	natural cytotoxicity triggering receptor 3
ABCC13	>0.1	ATP binding cassette subfamily C member 13 (pseudogene)
IL22RA2	>0.1	interleukin 22 receptor subunit alpha 2
NPHP1	>0.1	nephrocystin 1
F3	>0.1	coagulation factor III, tissue factor
HMMR	>0.1	hyaluronan mediated motility receptor
RAD51C	>0.1	RAD51 paralog C
LILRB2	>0.1	leukocyte immunoglobulin like receptor B2
SUGT1	>0.1	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone
REG1P	>0.1	regenerating family member 1 gamma, pseudogene
TLX3	>0.1	T cell leukemia homeobox 3
WDR17	>0.1	WD repeat domain 17
CCDC58	>0.1	mitochondrial matrix import factor 23
FAM92B	>0.1	CBY1 interacting BAR domain containing 2
SLURP1	>0.1	secreted LY6/PLAUR domain containing 1
PAK1	>0.1	p21 (RAC1) activated kinase 1
TMEM68	>0.1	transmembrane protein 68
CHSY1	>0.1	chondroitin sulfate synthase 1
SNRNP27	>0.1	small nuclear ribonucleoprotein U4/U6.U5 subunit 27
FAM21EP	>0.1	family with sequence similarity 21 member E, pseudogene
C9orf117	>0.1	cilia and flagella associated protein 157
IL24	>0.1	interleukin 24
PSPC1	>0.1	paraspeckle component 1
CCDC132	>0.1	VPS50 subunit of EARP/GARPII complex
PKN3	>0.1	protein kinase N3
IARS2	>0.1	isoleucyl-tRNA synthetase 2, mitochondrial
PPP2R2C	>0.1	protein phosphatase 2 regulatory subunit Bgamma
ARAP1	>0.1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1
ANKRD18DP	>0.1	ankyrin repeat domain 18D, pseudogene
SLC37A4	>0.1	solute carrier family 37 member 4
NUDT22	>0.1	nudix hydrolase 22
GATA4	>0.1	GATA binding protein 4
CHD6	>0.1	chromodomain helicase DNA binding protein 6
GUSBP11	>0.1	GUSB pseudogene 11
LOC100129316	>0.1	uncharacterized LOC100129316(LOC100129316)
ALKBH2	>0.1	alkB homolog 2, alpha-ketoglutarate dependent dioxygenase
AQPEP	>0.1	laeverin
COL15A1	>0.1	collagen type XV alpha 1 chain
E2F3	>0.1	E2F transcription factor 3
AIDA	>0.1	axin interactor, dorsalization associated
SHC2	>0.1	SHC adaptor protein 2
RHBDD3	>0.1	rhomboid domain containing 3
LINC00632	>0.1	long intergenic non-protein coding RNA 632
OR2S2	>0.1	olfactory receptor family 2 subfamily S member 2
ASF1B	>0.1	anti-silencing function 1B histone chaperone
LPCAT1	>0.1	lysophosphatidylcholine acyltransferase 1
TMEM249	>0.1	transmembrane protein 249
SPRR2F	>0.1	small proline rich protein 2F
MGC16025	>0.1	uncharacterized LOC85009(MGC16025)
LINC00700	>0.1	long intergenic non-protein coding RNA 700
COX7B2	>0.1	cytochrome c oxidase subunit 7B2
TACC2	>0.1	transforming acidic coiled-coil containing protein 2
NLRP11	>0.1	NLR family pyrin domain containing 11
ADCY4	>0.1	adenylate cyclase 4
MAP4K2	>0.1	mitogen-activated protein kinase kinase kinase kinase 2
CECR3	>0.1	cat eye syndrome chromosome region, candidate 3
SESN1	>0.1	sestrin 1
LYZL2	>0.1	lysozyme like 2
IL12RB2	>0.1	interleukin 12 receptor subunit beta 2
SECISBP2	>0.1	SECIS binding protein 2
CST13P	>0.1	cystatin 13, pseudogene
ZNF556	>0.1	zinc finger protein 556
TMEM71	>0.1	transmembrane protein 71
ROBO4	>0.1	roundabout guidance receptor 4
FBXW5	>0.1	F-box and WD repeat domain containing 5
PPP4R4	>0.1	protein phosphatase 4 regulatory subunit 4
RPRD2	>0.1	regulation of nuclear pre-mRNA domain containing 2
GNPAT	>0.1	glyceronephosphate O-acyltransferase
DOCK11	>0.1	dedicator of cytokinesis 11
HCRT	>0.1	hypocretin neuropeptide precursor
PLCG2	>0.1	phospholipase C gamma 2
LINC00469	>0.1	long intergenic non-protein coding RNA 469
BCORL1	>0.1	BCL6 corepressor like 1
DIO2	>0.1	iodothyronine deiodinase 2
LOC389765	>0.1	kinesin family member 27 pseudogene(LOC389765)
ERF	>0.1	ETS2 repressor factor
CKS1B	>0.1	CDC28 protein kinase regulatory subunit 1B
FGFRL1	>0.1	fibroblast growth factor receptor like 1
TGFB2	>0.1	transforming growth factor beta 2
ZNF268	>0.1	zinc finger protein 268
PTPRZ1	>0.1	protein tyrosine phosphatase receptor type Z1
CDC40	>0.1	cell division cycle 40
GPATCH2L	>0.1	G-patch domain containing 2 like
CCDC185	>0.1	coiled-coil domain containing 185
GNL2	>0.1	G protein nucleolar 2
ZSWIM7	>0.1	zinc finger SWIM-type containing 7
F8	>0.1	coagulation factor VIII
ZBTB44	>0.1	zinc finger and BTB domain containing 44
PET112	>0.1	glutamyl-tRNA amidotransferase subunit B
NAALAD2	>0.1	N-acetylated alpha-linked acidic dipeptidase 2
KRTAP10-5	>0.1	keratin associated protein 10-5
ABCG2	>0.1	ATP binding cassette subfamily G member 2 (Junior blood group)
PRELID2	>0.1	PRELI domain containing 2
MARCO	>0.1	macrophage receptor with collagenous structure
PDLIM3	>0.1	PDZ and LIM domain 3
ABI3	>0.1	ABI family member 3
G6PC2	>0.1	glucose-6-phosphatase catalytic subunit 2
DNAJC16	>0.1	DnaJ heat shock protein family (Hsp40) member C16
NPBWR1	>0.1	neuropeptides B and W receptor 1
DNAI1	>0.1	dynein axonemal intermediate chain 1
ADAM33	>0.1	ADAM metallopeptidase domain 33
CCDC42	>0.1	coiled-coil domain containing 42
CR2	>0.1	complement C3d receptor 2
C10orf113	>0.1	nebulette
NCOA1	>0.1	nuclear receptor coactivator 1
ULK2	>0.1	unc-51 like autophagy activating kinase 2
RPRML	>0.1	reprimo like
COL8A2	>0.1	collagen type VIII alpha 2 chain
HAR1A	>0.1	highly accelerated region 1A
IFT122	>0.1	intraflagellar transport 122
ANKRD13C	>0.1	ankyrin repeat domain 13C
C17orf50	>0.1	chromosome 17 open reading frame 50
PCDHGB8P	>0.1	protocadherin gamma subfamily B, 8 pseudogene
CACTIN	>0.1	cactin, spliceosome C complex subunit
VWA8	>0.1	von Willebrand factor A domain containing 8
SRRT	>0.1	serrate, RNA effector molecule
UQCR10	>0.1	ubiquinol-cytochrome c reductase, complex III subunit X
SHROOM4	>0.1	shroom family member 4
GLRA3	>0.1	glycine receptor alpha 3
DCUN1D4	>0.1	defective in cullin neddylation 1 domain containing 4
ACO2	>0.1	aconitase 2
AADACL2	>0.1	arylacetamide deacetylase like 2
UTS2B	>0.1	urotensin 2B
GGA1	>0.1	golgi associated, gamma adaptin ear containing, ARF binding protein 1
COLEC11	>0.1	collectin subfamily member 11
ELSPBP1	>0.1	epididymal sperm binding protein 1
ACP5	>0.1	acid phosphatase 5, tartrate resistant
TTC23L	>0.1	tetratricopeptide repeat domain 23 like
IPPK	>0.1	inositol-pentakisphosphate 2-kinase
ANO4	>0.1	anoctamin 4
SAMD13	>0.1	sterile alpha motif domain containing 13
CELSR1	>0.1	cadherin EGF LAG seven-pass G-type receptor 1
HEY1	>0.1	hes related family bHLH transcription factor with YRPW motif 1
VAPB	>0.1	VAMP associated protein B and C
TMEM240	>0.1	transmembrane protein 240
MAPRE3	>0.1	microtubule associated protein RP/EB family member 3
ZNF181	>0.1	zinc finger protein 181
PDHA2	>0.1	pyruvate dehydrogenase E1 subunit alpha 2
AMD1	>0.1	adenosylmethionine decarboxylase 1
CCR1	>0.1	C-C motif chemokine receptor 1
A4GALT	>0.1	alpha 1,4-galactosyltransferase (P blood group)
DEFB124	>0.1	defensin beta 124
POC5	>0.1	POC5 centriolar protein
C2orf82	>0.1	secondary ossification center associated regulator of chondrocyte maturation
STK17A	>0.1	serine/threonine kinase 17a
LOC646214	>0.1	p21 (RAC1) activated kinase 2 pseudogene(LOC646214)
OBFC1	>0.1	STN1 subunit of CST complex
MGC15885	>0.1	uncharacterized protein MGC15885(MGC15885)
ART4	>0.1	ADP-ribosyltransferase 4 (inactive) (Dombrock blood group)
ATOH1	>0.1	atonal bHLH transcription factor 1
GP5	>0.1	glycoprotein V platelet
ST6GALNAC5	>0.1	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5
C18orf42	>0.1	A-kinase anchor inhibitor 1
RGS2	>0.1	regulator of G protein signaling 2
NPEPL1	>0.1	aminopeptidase like 1
EDC3	>0.1	enhancer of mRNA decapping 3
PRSS53	>0.1	serine protease 53
KIF5B	>0.1	kinesin family member 5B
RNF144B	>0.1	ring finger protein 144B
COQ10B	>0.1	coenzyme Q10B
FCGR1B	>0.1	Fc gamma receptor Ib, pseudogene
UPRT	>0.1	uracil phosphoribosyltransferase homolog
IKZF5	>0.1	IKAROS family zinc finger 5
GLRA2	>0.1	glycine receptor alpha 2
CSRNP2	>0.1	cysteine and serine rich nuclear protein 2
UBE2H	>0.1	ubiquitin conjugating enzyme E2 H
PYGM	>0.1	glycogen phosphorylase, muscle associated
YEATS2	>0.1	YEATS domain containing 2
SEL1L3	>0.1	SEL1L family member 3
CORO1B	>0.1	coronin 1B
QKI	>0.1	QKI, KH domain containing RNA binding
DDX56	>0.1	DEAD-box helicase 56
DLX3	>0.1	distal-less homeobox 3
CHSY3	>0.1	chondroitin sulfate synthase 3
TMTC4	>0.1	transmembrane O-mannosyltransferase targeting cadherins 4
TFF1	>0.1	trefoil factor 1
HMOX2	>0.1	heme oxygenase 2
LOC392452	>0.1	
MRPS18C	>0.1	mitochondrial ribosomal protein S18C
CYP4F22	>0.1	cytochrome P450 family 4 subfamily F member 22
PMS2P1	>0.1	PMS1 homolog 2, mismatch repair system component pseudogene 1
SDK1	>0.1	sidekick cell adhesion molecule 1
CTTNBP2NL	>0.1	CTTNBP2 N-terminal like
COX17	>0.1	cytochrome c oxidase copper chaperone COX17
REREP3	>0.1	arginine-glutamic acid dipeptide repeats pseudogene 3
HSF4	>0.1	heat shock transcription factor 4
OR4K2	>0.1	olfactory receptor family 4 subfamily K member 2
SLITRK4	>0.1	SLIT and NTRK like family member 4
PPP2R5D	>0.1	protein phosphatase 2 regulatory subunit B'delta
CYHR1	>0.1	zinc finger TRAF-type containing 1
C1orf35	>0.1	chromosome 1 open reading frame 35
CPSF3	>0.1	cleavage and polyadenylation specific factor 3
COX20	>0.1	cytochrome c oxidase assembly factor COX20
HCST	>0.1	hematopoietic cell signal transducer
C20orf173	>0.1	chromosome 20 open reading frame 173
OR8A1	>0.1	olfactory receptor family 8 subfamily A member 1
MRPS9	>0.1	mitochondrial ribosomal protein S9
NEK10	>0.1	NIMA related kinase 10
CLEC1B	>0.1	C-type lectin domain family 1 member B
C15orf53	>0.1	long intergenic non-protein coding RNA 2694
LINC00588	>0.1	long intergenic non-protein coding RNA 588
S1PR2	>0.1	sphingosine-1-phosphate receptor 2
FGD2	>0.1	FYVE, RhoGEF and PH domain containing 2
CLMN	>0.1	calmin
QSOX2	>0.1	quiescin sulfhydryl oxidase 2
CCNYL1	>0.1	cyclin Y like 1
TRIM31	>0.1	tripartite motif containing 31
DUSP12	>0.1	dual specificity phosphatase 12
GRIK3	>0.1	glutamate ionotropic receptor kainate type subunit 3
GPR137C	>0.1	G protein-coupled receptor 137C
SH2D1A	>0.1	SH2 domain containing 1A
TPST2	>0.1	tyrosylprotein sulfotransferase 2
GLTPD2	>0.1	glycolipid transfer protein domain containing 2
TSPAN10	>0.1	tetraspanin 10
GOLM1	>0.1	golgi membrane protein 1
SLCO5A1	>0.1	solute carrier organic anion transporter family member 5A1
PLD2	>0.1	phospholipase D2
GPR12	>0.1	G protein-coupled receptor 12
HSPA14	>0.1	heat shock protein family A (Hsp70) member 14
DTWD1	>0.1	DTW domain containing 1
CCNF	>0.1	cyclin F
TIGD3	>0.1	tigger transposable element derived 3
GOLGA2P5	>0.1	GOLGA2 pseudogene 5
ZNF654	>0.1	zinc finger protein 654
LINC00691	>0.1	long intergenic non-protein coding RNA 691
GPD2	>0.1	glycerol-3-phosphate dehydrogenase 2
LMBR1L	>0.1	limb development membrane protein 1 like
JRK	>0.1	Jrk helix-turn-helix protein
MINPP1	>0.1	multiple inositol-polyphosphate phosphatase 1
NKPD1	>0.1	NTPase KAP family P-loop domain containing 1
FANCG	>0.1	FA complementation group G
KRTAP2-1	>0.1	keratin associated protein 2-1
DDB1	>0.1	damage specific DNA binding protein 1
NFIA	>0.1	nuclear factor I A
TC2N	>0.1	tandem C2 domains, nuclear
BCL2L2	>0.1	BCL2 like 2
LOC100130298	>0.1	hCG1816373-like(LOC100130298)
CDCP1	>0.1	CUB domain containing protein 1
MT1IP	>0.1	metallothionein 1I, pseudogene
SCIN	>0.1	scinderin
NFE2L3	>0.1	NFE2 like bZIP transcription factor 3
TBC1D2B	>0.1	TBC1 domain family member 2B
TMLHE	>0.1	trimethyllysine hydroxylase, epsilon
EFCAB2	>0.1	EF-hand calcium binding domain 2
LOC100129427	>0.1	
RNF138P1	>0.1	ring finger protein 138 pseudogene 1
UNKL	>0.1	unk like zinc finger
TPP1	>0.1	tripeptidyl peptidase 1
LINGO3	>0.1	leucine rich repeat and Ig domain containing 3
TGIF1	>0.1	TGFB induced factor homeobox 1
FLJ40194	>0.1	uncharacterized FLJ40194(FLJ40194)
TOPORS-AS1	>0.1	small integral membrane protein 27
TBC1D20	>0.1	TBC1 domain family member 20
HOXC4	>0.1	homeobox C4
LOC101929344	>0.1	
C7orf49	>0.1	cell cycle regulator of NHEJ
PCDHB19P	>0.1	protocadherin beta 19 pseudogene
CEACAM7	>0.1	CEA cell adhesion molecule 7
DEFA3	>0.1	defensin alpha 3
DSG1	>0.1	desmoglein 1
NAA25	>0.1	N-alpha-acetyltransferase 25, NatB auxiliary subunit
C1orf101	>0.1	catsper channel auxiliary subunit epsilon
USP17L7	>0.1	ubiquitin specific peptidase 17 like family member 7
HTR1A	>0.1	5-hydroxytryptamine receptor 1A
KNG1	>0.1	kininogen 1
OIP5-AS1	>0.1	OIP5 antisense RNA 1
C17orf105	>0.1	CFAP97 domain containing 1
MAPK11	>0.1	mitogen-activated protein kinase 11
ZNF784	>0.1	zinc finger protein 784
BNIPL	>0.1	BCL2 interacting protein like
FLJ31306	>0.1	PSMA3 antisense RNA 1
GCLM	>0.1	glutamate-cysteine ligase modifier subunit
TMPRSS5	>0.1	transmembrane serine protease 5
ITGA4	>0.1	integrin subunit alpha 4
PNMAL1	>0.1	PNMA family member 8A
PLN	>0.1	phospholamban
CRYGC	>0.1	crystallin gamma C
CCDC37	>0.1	cilia and flagella associated protein 100
KIF21B	>0.1	kinesin family member 21B
TBX5	>0.1	T-box transcription factor 5
MBL2	>0.1	mannose binding lectin 2
GIP	>0.1	gastric inhibitory polypeptide
ZNF728	>0.1	zinc finger protein 728
KLHL38	>0.1	kelch like family member 38
HMGB2	>0.1	high mobility group box 2
PPIF	>0.1	peptidylprolyl isomerase F
APOC4	>0.1	apolipoprotein C4
UBE2S	>0.1	ubiquitin conjugating enzyme E2 S
FOXN3-AS1	>0.1	FOXN3 antisense RNA 1
PMEL	>0.1	premelanosome protein
STRADB	>0.1	STE20 related adaptor beta
MPP1	>0.1	MAGUK p55 scaffold protein 1
COPE	>0.1	COPI coat complex subunit epsilon
SLAMF8	>0.1	SLAM family member 8
ONECUT3	>0.1	one cut homeobox 3
IRF6	>0.1	interferon regulatory factor 6
UBE2G2	>0.1	ubiquitin conjugating enzyme E2 G2
RASAL3	>0.1	RAS protein activator like 3
ACTR3B	>0.1	actin related protein 3B
LDLR	>0.1	low density lipoprotein receptor
FBXL22	>0.1	F-box and leucine rich repeat protein 22
SEC61B	>0.1	SEC61 translocon subunit beta
WDR37	>0.1	WD repeat domain 37
MED15P9	>0.1	mediator complex subunit 15 pseudogene 9
PGAM5	>0.1	PGAM family member 5, mitochondrial serine/threonine protein phosphatase
FAM111B	>0.1	FAM111 trypsin like peptidase B
YWHAH	>0.1	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta
VPREB1	>0.1	V-set pre-B cell surrogate light chain 1
RMND5A	>0.1	required for meiotic nuclear division 5 homolog A
LINC00996	>0.1	long intergenic non-protein coding RNA 996
PSG10P	>0.1	pregnancy specific beta-1-glycoprotein 10, pseudogene
GDPD1	>0.1	glycerophosphodiester phosphodiesterase domain containing 1
LOC644554	>0.1	uncharacterized LOC644554(LOC644554)
CPNE5	>0.1	copine 5
C2orf70	>0.1	family with sequence similarity 166 member C
CASP4	>0.1	caspase 4
CTSL3P	>0.1	cathepsin L family member 3, pseudogene
ZAP70	>0.1	zeta chain of T cell receptor associated protein kinase 70
INTU	>0.1	inturned planar cell polarity protein
C2orf88	>0.1	chromosome 2 open reading frame 88
LRP1B	>0.1	LDL receptor related protein 1B
TNFSF8	>0.1	TNF superfamily member 8
SLC2A9	>0.1	solute carrier family 2 member 9
FBN1	>0.1	fibrillin 1
SLC38A3	>0.1	solute carrier family 38 member 3
POPDC3	>0.1	popeye domain containing 3
SCARNA13	>0.1	small Cajal body-specific RNA 13
SLC6A9	>0.1	solute carrier family 6 member 9
SEC14L1	>0.1	SEC14 like lipid binding 1
ZBTB8B	>0.1	zinc finger and BTB domain containing 8B
DMXL2	>0.1	Dmx like 2
BIRC6	>0.1	baculoviral IAP repeat containing 6
GSR	>0.1	glutathione-disulfide reductase
CYB5R1	>0.1	cytochrome b5 reductase 1
IL12A	>0.1	interleukin 12A
ULK3	>0.1	unc-51 like kinase 3
