Gene	r	p
SYF2	-0.2793	0.0018381170940258
S100A3	-0.2792	0.0018434218788549
AARD	-0.2791	0.0018525204267102
RUVBL1	-0.2791	0.0018533741143299
HCG11	-0.2789	0.0018633843047536
LOC100287846	-0.2789	0.0018636567434533
ANKRD40	0.2789	0.0018650275357083
GPR3	-0.2789	0.0018673392926801
BZW1	-0.2789	0.0018692718867358
SEMA3F	0.2787	0.0018783373929319
TBKBP1	0.2787	0.001883740377174
PRDM16	0.2786	0.0018904711761343
CRTC1	0.2785	0.0018916254379202
ITGB5	0.2783	0.0019071011780009
TRIT1	-0.2783	0.0019112469269273
ATL2	-0.2781	0.0019250955033369
SLC16A2	0.2781	0.00192601411251
MBD6	0.278	0.0019326282121923
NUP35	-0.278	0.0019363289716556
DHX33	-0.2779	0.0019419683926544
SSPO	0.2778	0.0019464895067568
TMEM117	-0.2778	0.001948596698898
KIF26A	0.2777	0.0019528348493638
MOCS1	0.2776	0.0019649655459467
PLXNB2	0.2776	0.001966659748258
BBS12	-0.2776	0.0019670725423378
MAP7D3	-0.2775	0.0019692165031264
OR7E156P	0.2773	0.0019848145046937
SEMA6A	-0.2773	0.0019862988801904
PLA2G4D	-0.2773	0.0019879917576222
TOMM5	-0.2772	0.0019971370853934
COQ2	-0.277	0.0020120399727956
COA7	-0.2769	0.0020172807261905
RAB12	-0.2768	0.0020222320213407
VWF	0.2768	0.0020254182606062
ADCY5	0.2767	0.002029895672995
ADIRF	0.2766	0.0020391105510738
AGAP11	0.2766	0.0020391105510738
PLAG1	-0.2766	0.0020401243622143
MIA3	0.2766	0.0020440294360169
TIE1	0.2766	0.0020450725022197
SNORD75	0.2765	0.0020490607842256
MIR3609	0.2765	0.0020490607842256
KRTAP4-4	-0.2765	0.0020490607842256
LINC00111	-0.2765	0.0020490607842256
DNAJC22	0.2765	0.0020527791171551
STRA6	0.2764	0.0020578421586765
LINC00882	-0.2764	0.0020580812526588
FLJ37035	-0.276	0.0020871436083851
SGCB	-0.2759	0.002094849314517
SLC26A8	-0.2758	0.0021029729650715
TOB1	0.2757	0.0021153399803766
G6PD	0.2757	0.0021172161851493
MB	0.2756	0.0021199631519505
LRRC14B	-0.2756	0.0021241039834881
NKD2	0.2756	0.0021260872210489
MED30	-0.2754	0.0021362318782042
B3GNT5	-0.2751	0.0021682983955346
MAP2	-0.2749	0.0021846544588224
APOOP5	-0.2748	0.002192746286134
RNF8	-0.2747	0.0021992543680551
FAM41C	-0.2747	0.0022001694344187
TUBE1	-0.2746	0.0022045018696613
STRADA	0.2746	0.0022089050263682
SLC16A6	0.2746	0.0022090834239093
HAGLR	0.2745	0.0022148211665567
RGS3	0.2744	0.0022240664436596
TRA2B	-0.2741	0.0022513074441885
SZT2	0.274	0.0022542789189996
NPNT	0.274	0.0022586706996385
ADCY6	0.274	0.0022609471074769
TMEM184A	0.2739	0.0022671160776099
SLC25A32	-0.2738	0.0022742200428965
FAM200A	-0.2737	0.0022809400480813
XKR9	-0.2736	0.0022955346289077
TVP23C	-0.2735	0.0022987834758577
CDRT4	-0.2735	0.0022987834758577
TVP23C-CDRT4	-0.2735	0.0022987834758577
LINC01301	-0.2733	0.0023224852522378
RHPN1	0.2732	0.0023253164554965
SDSL	0.2732	0.0023256617217751
TRIB3	0.2732	0.0023290279667134
TNKS1BP1	0.2732	0.0023332696615931
ANKRD26	-0.2728	0.0023636107754093
MCCC1	-0.2728	0.0023636625694045
IFNW1	-0.2728	0.0023686693529308
RASL11A	0.2727	0.0023751764990932
KRT19	0.2727	0.002376887087036
CDKAL1	-0.2727	0.002377248559018
WNT7B	0.2726	0.0023846260574474
ACKR3	0.2722	0.0024173982793919
FAH	0.2721	0.0024287045936565
D2HGDH	0.2721	0.0024308294137964
CUEDC1	0.2721	0.0024316262596032
SAV1	-0.2721	0.0024318877807053
NDUFAF4	-0.272	0.0024358561703046
CATSPERG	0.272	0.0024409416078935
SPTSSB	0.2718	0.0024537657224694
DHRS13	0.2718	0.0024605197315899
AMD1	-0.2715	0.0024850106192387
SLC9A3R1	0.2713	0.0025030188908959
MIR3615	0.2713	0.0025030188908959
SNORD58C	-0.2713	0.0025073689712717
RAB3A	0.2712	0.0025165494636717
DOLPP1	0.2712	0.0025199579291325
DERL2	-0.2711	0.0025224638886042
PBX1	0.271	0.0025339697400584
CACNA1C-AS2	-0.271	0.0025351665362817
REPIN1	0.271	0.0025386543373706
PPDPF	0.2709	0.0025454642961781
SUB1	-0.2706	0.0025716101714997
MARCHF2	0.2705	0.0025789853967399
MBP	-0.2705	0.0025820332317543
C10orf82	0.2704	0.0025900541366666
KCNH7	-0.2703	0.0026012541441465
ENPP3	0.2703	0.0026077238521507
ZFAND1	-0.2701	0.0026219780543691
CREG1	-0.2701	0.0026231842177844
MS4A15	0.2701	0.0026243957777473
STAC	-0.2699	0.0026466807641825
CLEC3B	0.2699	0.0026471688733044
MRPL1	-0.2698	0.0026486118000568
OSBPL5	0.2698	0.0026570352626564
RDH13	0.2697	0.0026587586304452
TMEM210	0.2697	0.0026605278967149
EFCC1	0.2696	0.002668797372272
PDK3	-0.2696	0.0026720247893132
IL1R1	0.2696	0.0026764714536976
REEP6	0.2695	0.0026872230444359
INF2	0.2693	0.002699292180269
TMEM150A	0.2692	0.0027175838839213
IQCF3	-0.2691	0.0027227861681974
GLTSCR1	0.2691	0.0027230614150505
C6orf123	-0.2689	0.0027409651350529
LOC100131347	0.2689	0.0027415012358405
RBM47	0.2689	0.0027445683458508
USP20	0.2687	0.0027649231780303
RP9	-0.2687	0.0027673512815615
EMILIN1	0.2686	0.0027758083853518
CYP4A11	-0.2685	0.0027822294464541
POM121L10P	0.2685	0.002786968481732
GAMT	0.2685	0.0027912533323786
FAM181A-AS1	-0.2684	0.002794630898573
C9orf37	-0.2684	0.0027968507664559
SOX6	-0.2684	0.0028029464164807
MIR6073	-0.2684	0.0028029464164807
ARHGEF15	0.2683	0.0028058079063711
ZPR1	-0.2683	0.0028058837724627
SDF2	0.2683	0.0028073784534965
ZNF609	0.2683	0.0028105967133111
SOX18	0.2683	0.0028125889512945
SLMO1	-0.2682	0.0028217079723155
AGPAT2	0.2682	0.0028224272256845
ZNF341	0.2679	0.0028497863968292
TMC5	0.2679	0.0028523545967762
METTL8	-0.2678	0.0028576009509236
MMP20	-0.2675	0.0028899881652904
ADD1	0.2675	0.0028985889710253
MIR622	0.2675	0.002899804719032
PTPLAD1	0.2674	0.0029071662029965
DNAJA4	0.2673	0.0029123005237274
KCNQ3	-0.2673	0.0029156107019823
TATDN1	-0.2672	0.0029236411653888
LPIN1	-0.2671	0.002934576828042
DDX52	0.2671	0.0029367277450489
IFT57	-0.267	0.0029465134918594
NIPAL3	-0.2669	0.0029642164862493
PXDN	0.2668	0.0029752488683471
SMIM17	-0.2667	0.0029862264473913
CPA3	0.2665	0.0030048722363097
PHF5A	-0.2665	0.003007088170827
C1orf216	-0.2665	0.0030082302638594
TSPAN4	0.2664	0.0030143996723616
POR	0.2664	0.003016373558217
RAB15	0.2663	0.0030238647548975
SF3B6	-0.2663	0.0030275812203377
C11orf73	-0.2663	0.0030276076976762
ZNF730	0.2663	0.0030292120727571
CORO1B	0.2661	0.0030496050545653
MMP17	0.266	0.0030633763617762
DCAF7	0.2659	0.0030690015611651
FAM178B	0.2659	0.0030776107839248
SH2D4A	0.2658	0.003082710804313
NDOR1	0.2658	0.0030882190248661
LOC100996634	0.2657	0.0030959326608927
SDHD	-0.2657	0.0031031549271855
FAM66E	-0.2656	0.0031060379977148
DIMT1	-0.2656	0.0031076755693148
DGCR2	0.2655	0.0031243481933766
PDHA2	-0.2654	0.003126662732982
KATNAL1	-0.2654	0.0031275585038925
C9orf24	-0.2654	0.0031299652277495
LOC101928100	-0.2654	0.0031324308381805
ARRB1	0.2653	0.0031397690860488
C1orf115	0.2652	0.0031547944364448
GNL2	-0.2651	0.0031627655780777
CNTLN	-0.2651	0.0031683970974887
NOTCH3	0.2651	0.003173315132978
NLK	0.265	0.0031810214657255
RET	0.2649	0.0031900326748607
BAZ2A	0.2648	0.0032048715453487
FAM115D	0.2648	0.003205099165971
VMP1	0.2647	0.0032100917423385
NBPF22P	-0.2647	0.0032133770502334
NDUFAF4P1	-0.2647	0.0032148772651242
TRIM68	0.2646	0.0032293012016234
MEIG1	-0.2645	0.0032427455862777
GNL3	-0.2644	0.0032502190749198
DLG3	0.2644	0.0032510761663981
SPTLC2	0.2644	0.0032541651385039
SLC46A1	0.2644	0.0032542964057447
LSM5	-0.2644	0.0032543171263035
HOXC11	0.2643	0.003263003658851
GCHFR	0.2642	0.0032702241637442
SLC4A8	0.264	0.0032982665292376
WBP1	0.2639	0.0033139253115359
INO80B-WBP1	0.2639	0.0033139253115359
INO80B	0.2639	0.0033139253115359
LINC01341	0.2637	0.0033314738866028
CTNND2	0.2637	0.0033359155520339
ADAM33	0.2636	0.0033517883923972
GBF1	0.2636	0.0033556838251975
RIOK3	-0.2634	0.0033692106895938
GRB14	-0.2632	0.0033995981809887
MOB2	0.2632	0.0034024196306285
POP1	-0.2632	0.0034058750607536
LOC100507377	-0.2631	0.003409741459938
MKRN2	-0.2631	0.0034156978930917
SMIM14	0.263	0.0034251097507913
FOXP4	0.2629	0.0034347327600239
RNF208	0.2629	0.0034367283504453
RRAGD	-0.2628	0.0034465625647717
SIRT5	-0.2628	0.0034527179397985
PLAC8L1	0.2627	0.0034594942662871
CDH19	-0.2627	0.0034626830774382
C14orf142	-0.2627	0.0034640389625843
DUSP11	-0.2627	0.0034699992363359
TRMT11	-0.2626	0.0034813964456113
FZD9	-0.2625	0.003490182155661
TACR3	-0.2625	0.0034931573373642
DNMBP	0.2625	0.0034934067001456
ADAMTSL3	0.2624	0.0034986114594377
LOC100288911	-0.2624	0.0035040948369313
TPRKB	-0.2624	0.0035049856557543
FAM19A3	-0.2623	0.0035170712985572
CHD6	0.2622	0.0035305930333618
SEMA4A	0.2621	0.003535699980128
TMEM19	-0.262	0.0035482724240074
TWISTNB	-0.262	0.0035548325953475
PGAP3	0.2619	0.0035637242504524
FAM110C	0.2619	0.0035727602573456
FAM129C	0.2618	0.0035847461973933
BAG3	0.2617	0.0035939466498165
MRGPRF	0.2616	0.0036028017556801
FZD4	0.2616	0.0036115539687421
KRIT1	-0.2615	0.0036202376177403
DDHD2	-0.2615	0.0036273392517573
LOC401320	0.2614	0.0036398590181373
FBXL19-AS1	0.2613	0.0036470709073497
KLF2	0.2612	0.0036634485457039
GOLPH3L	-0.2611	0.0036796745473406
KAZN	-0.261	0.003682984923074
PWRN2	-0.261	0.0036861712482301
SACS	-0.261	0.0036925983039229
AK2	-0.261	0.003692669702798
DEK	-0.2609	0.0037009701724026
TFF3	0.2608	0.0037210520877584
TUSC3	-0.2607	0.0037321301597524
GPC1	0.2607	0.0037335834586944
ELOVL4	-0.2606	0.0037398557529795
SNORD116-17	0.2606	0.003746886871722
PAK4	0.2604	0.0037660043236176
TRIM63	-0.2604	0.0037668740520518
CCNJ	-0.2604	0.0037698301420254
TRMT10C	-0.2604	0.0037718344818223
ANKRD20A2	-0.2603	0.0037820405024406
ANKRD20A3	-0.2603	0.0037820405024406
HIP1	0.2602	0.003791387338246
CD47	-0.2601	0.0038057858577234
PITHD1	-0.2598	0.0038540417916066
ADRA2C	0.2598	0.0038590839069158
SSB	-0.2597	0.0038635665594098
C5orf34	-0.2596	0.0038803806922793
ANO7	0.2594	0.0039046240499927
PMS1	-0.2594	0.0039089805489744
PXN	0.2594	0.0039106698814437
FOXL1	-0.2594	0.0039107863321674
PTPN2	-0.2594	0.0039159395488152
LINC01342	-0.2594	0.0039163665590376
MAST3	0.2594	0.0039171659812374
SH3GLB2	0.2593	0.003927851629461
BLVRB	0.2593	0.0039297399108544
VPS39	0.2592	0.0039397012189376
AATF	0.2591	0.0039599922523174
ATG4C	-0.2589	0.0039825815878135
SNED1	0.2589	0.0039844923694521
HNRNPA3	-0.2589	0.003985953660587
MIR4444-2	-0.2589	0.003985953660587
PRR15L	0.2588	0.0040011026307128
FLJ22184	0.2586	0.0040341933064682
CCL22	0.2585	0.0040426795529728
SNORD90	0.2583	0.0040725051375779
CNTNAP3P2	-0.2583	0.004077958607072
CNTNAP3B	-0.2583	0.004077958607072
PRDX4	-0.2582	0.0040824312079388
DERA	-0.258	0.0041138272236481
PLVAP	0.258	0.0041159097019504
TBC1D10A	0.2579	0.0041331464559689
C19orf33	0.2577	0.0041544159911164
TMEM39A	-0.2577	0.0041556180661548
THOC7	-0.2577	0.004164398174623
NRON	0.2577	0.0041665114676517
OTUD3	-0.2576	0.0041754271427961
LOC101928227	-0.2576	0.0041821603970637
PCGF5	-0.2575	0.0041844237588047
GRINA	0.2575	0.0041863323986903
FAM193A	0.2575	0.004188146338756
TAF6	0.2575	0.0041969629664274
PANK1	-0.2574	0.0042037284785801
LINC00898	-0.2573	0.0042198136496606
FEZF1-AS1	-0.2573	0.0042231277834807
SLC16A11	-0.2573	0.004224468592555
SNHG6	-0.2572	0.0042339211011525
SNX33	0.2572	0.0042439193596507
MGAT4A	0.2571	0.0042491022229926
RAB30-AS1	-0.2571	0.0042549220844892
FOXD2	-0.2571	0.0042567775673231
SYT15	0.2571	0.0042591417653602
SKP2	-0.2571	0.0042598027101131
GPR180	-0.257	0.0042680788505725
TMEM14A	-0.2568	0.0042960999945143
GABRD	0.2567	0.0043081542307486
RPL23A	0.2567	0.0043140858199141
EIF1B	-0.2566	0.0043264897240381
